ID_STATION,NOM_STATION,RA,ADRESSE,MUNICIPALITE,TYPE_MILIEU,DATE_OUVERTURE,DATE_FERMETURE,LATITUDE,LONGITUDE
01805,Murdochville - Parc Lions,01,603 des Bouleaux,Merdochville,URBAIN,2005-01-01,2008-10-29,48.95485,-65.496557
01810,Auclair,01,"66, rang St-Grégoire Nord",Auclair,FORET,1989-11-06,,47.733522,-68.706991
02016,Saguenay - Parc Powell,02,"2885, Berthier",Saguenay,URBAIN,1992-10-11,,48.433895,-71.184586
02022,Saguenay - UQAC,02,"789, boul. Des Étudiants",Saguenay,URBAIN,2002-09-24,,48.41638889,-71.0525
02101,Alma - École Jean-Dequen,02,"90, Des Érables, Alma",Alma,URBAIN,1993-06-21,2014-10-20,48.569538,-71.635098
02202,Saguenay - La Baie,02,"309, de la Fabrique, La Baie",Saguenay,URBAIN,1982-01-05,,48.34,-70.88166667
02610,Rés. F. Ashuapmushuan - Pemonca,02,"Route 167, La Doré",La Doré,FORET,1990-10-01,,48.8097229,-72.7388916
02621,Saguenay - Père Honorat,02,"762, Père Honorat, Laterrière",Saguenay,URBAIN,1990-02-16,2013-10-07,48.30379,-71.109131
03006,Québec - Vieux-Limoilou,03,"600, rue des Sables",Québec,URBAIN,1989-08-14,,46.8211,-71.2208
03011,Québec - Bibl. Monique-Corriveau,03,"1100, route de l'Église",Québec,URBAIN,2014-01-10,,46.769982,-71.29447
03012,Québec - De l'Église,03,"999 Place de ville, Ste-Foy",Québec,URBAIN,1975-01-01,2013-11-24,46.77138889,-71.29638889
03020,Québec - Parc Victorin-Beaucage,03,"420, rue Beaucage",Québec,URBAIN,1986-01-02,,46.81333333,-71.26666667
03021,Québec - École Les Primevères,03,"1465, rue Félix-Antoine-Savard",Québec,URBAIN,2005-01-07,,46.77416667,-71.36972222
03028,Québec - Collège St-Charles-Garnier,03,"1150, boul. René-Lévesque O",Québec,URBAIN,2000-09-06,,46.79472222,-71.24638889
03039,Québec - Charlesbourg,03,Extrémité de la rue de l'Indre,Québec,URBAIN,2020-02-05,,46.8615,-71.2572
03052,Québec - Henri IV,03,Aut. Henri IV Nord /Sortie 138,Québec,URBAIN,2018-11-22,,46.781331,-71.308711
03061,Lévis - Charny,12,"2254 Rotonde, Charny",Lévis,URBAIN,2002-05-01,2015-11-18,46.709473,-71.267411
03062,Lévis - Parc Georges Maranda,12,"200, rue des commandeurs",Lévis,URBAIN,2013-07-09,,46.806029,-71.167506
03092,Québec - De Beaujeu,03,"727, 8ième Avenue, Limoilou",Québec,URBAIN,2010-04-01,2012-03-28,46.82666667,-71.22444444
03093,Québec - Vitré,03,"1011 av. de Vitré, Québec",Québec,URBAIN,1981-03-03,,46.83180556,-71.21744444
